"","Babacomari.Series","Chihuahuan.Series","Chuska.White.Ware","Cibola.White.Ware","Early.White.Mountain.Red.Ware","Hopi.White.Ware","Jeddito.Orange.Ware","Jornada.Mogollon.Brown.Ware","Kintiel.Klagetoh.Ware","Late.White.Mountain.Red.Ware","Lower.Colorado.Buff.Ware","Maverick.Mountain.Series","Mesa.Verde.White.Ware","Middle.Gila.Buff.Ware.and.Gray.Ware","Mogollon.Brown.Ware","Prescott.Gray.Ware","Rio.Grande.White.Ware","Roosevelt.Red.Ware","Salado.Series","San.Carlos.Brown.Ware","Tizon.Brown.Ware","Tsegi.Orange.Ware","Tucson.Basin.Brown.Ware","Tusayan.White.Ware","Winslow.Orange.Ware","Zuni.Glaze.Ware"
"Homolovi III",0,0,0,433,51,0,65,0,0,862,0,0,0,0,0,0,0,0,0,0,0,0,0,516,0,11
"Cottonwood Creek",0,0,0,10.95,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
"Homolovi I",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.74,0
"Scribe S",0,0,0,486.93,3081.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Upper Nutria",0,0,0,5.54,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29
"Lower Deracho",0,0,0,4.7,19.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Day Ranch",0,0,0,109,208,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Halona:wa South",0,0,0,46.42,161,0,0,0,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.13
"Atsinna",0,0,0,16.06,61,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.17
"Cienega",0,0,0,12.99,135,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.49
"Mirabal",0,0,0,21.74,207,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.45
"Tinaja",0,0,0,203,1266,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154
"North Atsinna",0,0,0,12.57,144,0,0,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.05
"Yellowhouse",0,0,0,57.26,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09
"Big House",0,0,0,174,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Naataanii Bikin",0,0,0,16,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lookout Site",0,0,0,153,447,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
"Pueblo de los Muertos",0,0,0,9.29,114,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.83
"Jacks Lake",0,0,0,50,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"Box S",0,0,0,72.24,103.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"LA 15560",0,0,0,12.94,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02
"LA 47563",0,0,0,68.33,5,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Los Gigantes",0,0,0,95.28,268.15,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0
"Spier 81",0,0,0,38.66,62.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA 109857",0,0,0,14.84,23.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wupatki",0,0,0,0,7.96,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,57.26,0,618,0,0
"Many Farms",0,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,0,2.37,0,0
"Antelope House",0,0,0,0.24,42.27,0,0,0,0,0,0,0,47.76,0,0,0,0,0,0,0,0,10.38,0,3,0,0
"Three Turkey House",0,0,0,0,4,0,0,0,2,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
"White House II",0,0,0,14.31,18.99,0,0,0,2,0,0,0,21.07,0,0,0,0,0,0,0,0,5.62,0,17.14,0,0
"Salina Springs II",0,0,0,1,0.42,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3.99,0,5.96,0,0
"Boss Ranch",5.79,48.41,0,22.34,33.94,0,0,5.82,0,0,0,0.81,0,0,2.13,0,2.15,37,0,0,0,0,1.85,0,0,0
"Old Caves",0,0,0,0,0,0,1.16,0,1,0,0,0,0,0,0,0.57,0,0,0,0,0,1.4,0,13.91,0,0
"Burned Pueblo",0,0,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0
"Turkey Hill Pueblo",0,0,0,2.01,2.76,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,13.3,0,38.67,0,0
"Tachini Point",0,0,0,1.48,0.32,0,0,0,0,0,0,0,1.28,0,0,0,0,0,0,0,0,197.82,0,138.06,0,0
"Inscription House",0,0,0,0.6,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4149.79,0,11879.99,0,0
"Whirling Spring",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,61,0,0
"Tower House",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,36.03,0,0
"Swallows Nest",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0
"Betatakin",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0,258,0,0
"Kiet Siel",0,0,0,0,0,199,21,0,0,0,0,0,47,0,0,0,0,0,0,0,0,657,0,479,0,0
"Batwoman House",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18,0,7.32,0,0
"Twin Caves Pueblo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.89,0,40.27,0,0
"Nagashi Bikin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0
"Red House",0,0,0,9.64,16.02,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,32.02,0,67.31,0,0
"Scaffold House",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,14,0,0
"Moqui Rock Pueblo",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,155,0,90,0,0
"Kinlani",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,6.81,0,0
"Double Wall Ruin",0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57,0,12.22,0,0
"NA 5628",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.69,0,17.57,0,0
"NA 5651",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,44,0,0
"NA 5654",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,40,0,0
"Hummingbird House",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12,0,6.33,0,0
